"X.4","X.3","X.2","X.1","X","Barrio","Area","Population","Men","Women","Renda","Density"
1,1,1,1,1,"aeroporto",6,0,0,0,0,0
2,2,2,2,2,"andorinhas",0.14,2031,977,1054,619.56,14507.1428571429
3,3,3,3,3,"antonio_honorio",0.09,1347,599,748,1508.96,14966.6666666667
4,4,4,4,4,"ariovaldo_favalessa",0.05,787,343,444,750.98,15740
5,5,5,5,5,"barro_vermelho",0.38,5629,2634,2995,3911.04,14813.1578947368
6,6,6,6,6,"bela_vista",0.35,4371,2102,2269,592.07,12488.5714285714
7,7,7,7,7,"bento_ferreira",0.94,5569,2594,2975,2653.09,5924.46808510638
8,8,8,8,8,"boa_vista",0.14,1183,557,626,1035.54,8450
9,9,9,9,9,"bonfim",0.36,7106,3374,3732,690.8,19738.8888888889
10,10,10,10,10,"caratoira",0.26,5149,2370,2779,551.45,19803.8461538462
11,11,11,11,11,"centro",0.94,9838,4416,5422,1791.15,10465.9574468085
12,12,12,12,12,"comdusa",0.1,894,438,456,375.82,8940
13,13,13,13,13,"conquista",0.34,1914,926,988,558.11,5629.41176470588
14,14,14,14,14,"consolacao",0.3,2766,1284,1482,805.36,9220
15,15,15,15,15,"cruzamento",0.18,2407,1198,1209,562.08,13372.2222222222
16,16,16,16,16,"da_penha",0.26,5603,2678,2925,613.82,21550
17,17,17,17,17,"de_lourdes",0.21,1920,896,1024,1971.71,9142.85714285714
18,18,18,18,18,"do_cabral",0.14,1623,779,844,563.1,11592.8571428571
19,19,19,19,19,"do_moscoso",0.19,795,369,426,647.05,4184.21052631579
20,20,20,20,20,"do_quadro",0.05,1041,488,553,512.51,20820
21,21,21,21,21,"enseada_sua",1.25,1062,516,546,3595.16,849.6
22,22,22,22,22,"estrelinha",0.26,2381,1175,1206,564.88,9157.69230769231
23,23,23,23,23,"fonte_grande",0.19,1231,592,639,706.03,6478.94736842105
24,24,24,24,24,"forte_sao_joao",0.41,1553,723,830,768.41,3787.80487804878
25,25,25,25,25,"fradinhos",0.59,1756,855,901,2144.62,2976.27118644068
26,26,26,26,26,"goiabeiras",2.37,2633,1255,1378,988.91,1110.97046413502
27,27,27,27,27,"grande_vitoria",0.94,4402,2087,2315,518.89,4682.97872340426
28,28,28,28,28,"gurigica",0.52,5997,2877,3120,515.4,11532.6923076923
29,29,29,29,29,"horto",0.07,98,48,50,1010.35,1400
30,30,30,30,30,"ilha_caieiras",0.12,1845,906,939,486.54,15375
31,31,31,31,31,"ilha_boi",0.38,1111,542,569,4902.69,2923.68421052632
32,32,32,32,32,"ilha_frade",0.35,418,206,212,10843.74,1194.28571428571
33,33,33,33,33,"ilha_principe",0.29,2613,1194,1419,623.21,9010.34482758621
34,34,34,34,34,"ilha_santa_maria",0.34,2325,1086,1239,949.36,6838.23529411765
